刑事附带民事	赔偿	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

认定	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

认定	被害人	NA	而不能根据被害人的伤亡结果而分别认定为故意伤害罪或者故意杀人罪。

证据不足	被告人	NA	我的辩护意见是:一审判决认定被告人林某某犯故意伤害罪的证据不足。

道路交通事故	交通肇事	NA	交通肇事罪和普通的道路交通事故均可适用该原则。

司法解释	逃逸	NA	司法解释规定指使者与受指使逃逸的交通肇事者构成交通肇事罪的共犯。

司法解释	逃逸	NA	交通肇事逃逸的相关司法解释存在一定的问题。

司法解释	逃逸	NA	交通肇事罪的司法解释规定指使肇事者逃逸的以共犯论处。

辩护意见	被告人	NA	我的辩护意见是:一审判决认定被告人林某某犯故意伤害罪的证据不足。

犯罪嫌疑	市人民检察院	NA	信阳市人民检察院以故意杀人罪对犯罪嫌疑人王仁科实施逮捕。

交通肇事罪	以危险方法危害公共安全罪	NA	来决定以交通肇事罪定罪还是以危险方法危害公共安全罪定罪。

交通肇事罪	以危险方法危害公共安全罪	NA	来决定以交通肇事罪定罪还是以危险方法危害公共安全罪定罪。

交通肇事罪	以危险方法危害公共安全罪	NA	交通肇事罪和以危险方法危害公共安全罪同属《刑法》分则第2章危害公共安全罪的具体罪名。

交通肇事罪	以危险方法危害公共安全罪	NA	交通肇事罪和以危险方法危害公共安全罪同属《刑法》分则第2章危害公共安全罪的具体罪名。

交通肇事罪	以危险方法危害公共安全罪	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事罪	以危险方法危害公共安全罪	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事罪	以危险方法危害公共安全罪	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事罪	以危险方法危害公共安全罪	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

交通肇事罪	以危险方法危害公共安全罪	NA	以危险方法危害公共安全罪与交通肇事罪的区别主要在于犯罪主观方面的不同。

自动投案	自首	NA	浙江高级人民法院认为交通肇事后肇事人报警并保护现场不属于自动投案进而不能认定为自首。

暴力	犯罪	NA	故意杀人罪是最为严重的暴力犯罪。

检察院	提起诉讼	NA	是由于黄岩检察院对被告人以过失致人死亡罪向法院提起诉讼。

寻衅滋事罪	犯罪构成	NA	敲诈勒索罪与寻衅滋事罪的某些犯罪构成特征十分相似。

寻衅滋事罪	犯罪构成	NA	本文通过分别对敲诈勒索罪与寻衅滋事罪的犯罪构成进行分析。

指使	遗弃罪	NA	指使者相应构成遗弃罪或故意杀人罪的教唆犯。

县法院	有期徒刑	NA	到县法院以故意伤害罪判处陈亚阳有期徒刑3年、缓刑4年时。

被告人	检察官	hierarchical	有媒体称2002年4月黑龙江省牡丹江铁路运输法院判决的一起由检察官与被告人达成协议的故意伤害案为中国辩诉交易第一案。

伤害罪	人民法院	NA	自己在1992年11月6日被区人民法院以故意伤害罪判处有期徒刑5年。

伤害罪	人民法院	NA	邵阳市东区人民法院以故意伤害罪。

伤害罪	人民法院	NA	靖江市人民法院以故意伤害罪。

伤害罪	人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

伤害罪	人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

伤害罪	人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

罪名	刑罚	NA	可以考虑通过修正现有交通肇事罪法条、增设新的罪名、完善刑罚设置等方式改进现有刑法立法规定。

子女	父亲	NA	北京市海淀区人民检察院批捕了一起因子女阻拦父亲再婚引发的故意伤害案。

公安机关	故意伤害罪	NA	我才知道他为何事找我:老人在广东打工的儿子因故意伤害罪被公安机关逮捕。

以危险方法危害公共安全罪	罪刑法定原则	NA	我国刑法中存在诸如以危险方法危害公共安全罪与罪刑法定原则、累犯与毒品累犯、自首与贿赂罪自首、一般缓刑与战时缓刑等在条文规定中总则与分则相矛盾的现象。

死刑犯	生育权	NA	浙江舟山发生的一起故意杀人案引起了有关死刑犯有无生育权的争论。

以危险方法危害公共安全罪	间接故意	NA	对以间接故意实施以危险方法危害公共安全罪的醉酒驾车被告人。

以危险方法危害公共安全罪	间接故意	NA	醉酒驾车肇事构成以危险方法危害公共安全罪的一般系间接故意犯罪。

抢劫	认定	NA	在强迫交易罪的认定中不可混淆与抢劫罪、寻衅滋事罪的界限。

醉酒驾车	故意	NA	对以间接故意实施以危险方法危害公共安全罪的醉酒驾车被告人。

醉酒驾车	故意	NA	醉酒驾车肇事构成以危险方法危害公共安全罪的一般系间接故意犯罪。

民事责任	交通肇事	NA	这一规定从实质上改变了《刑法》第133条对交通肇事罪客观要件内容的规定;违反了民事责任和刑事责任不得相互转换的法律原理;并且与《刑法》第4条所规定的刑法面前人人平等原则相冲突。

交通肇事罪	法定刑	NA	交通肇事罪法定刑的设置;逃逸行为应属定罪情节还是加重情节;逃逸行为与责任认定;肇事后逃逸的情形下可否成立自首等问题都值得理论界思考。

交通肇事罪	法定刑	NA	仍应适用交通肇事罪基本犯的法定刑。

交通肇事罪	法定刑	NA	不能不加区别地一律定交通肇事罪适用刑法第133条第3档法定刑。

被告人	死刑	NA	云南省文山州中级人民法院以故意杀人罪一审判处被告人苏志祥、罗超死刑。

因逃逸致人死亡	故意	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

辩诉交易	检察官	NA	有媒体称2002年4月黑龙江省牡丹江铁路运输法院判决的一起由检察官与被告人达成协议的故意伤害案为中国辩诉交易第一案。

暴力	违法行为	NA	还应包括间接故意杀人、伤害未造成危害后果的严重违法行为以及实施杀人、抢劫等其他犯罪所采用的暴力手段。

罪刑法定	罪刑均衡	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

敲诈勒索罪	寻衅滋事罪	NA	敲诈勒索罪与寻衅滋事罪的某些犯罪构成特征十分相似。

敲诈勒索罪	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

敲诈勒索罪	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

敲诈勒索罪	寻衅滋事罪	NA	本文通过分别对敲诈勒索罪与寻衅滋事罪的犯罪构成进行分析。

敲诈勒索罪	寻衅滋事罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

敲诈勒索罪	寻衅滋事罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

敲诈勒索罪	寻衅滋事罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

敲诈勒索罪	寻衅滋事罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

敲诈勒索罪	寻衅滋事罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

敲诈勒索罪	寻衅滋事罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

敲诈勒索罪	寻衅滋事罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

刑法目的	罪刑法定	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

交通事故	最高人民法院	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

县法院	以危险方法危害公共安全罪	NA	枞阳县法院以危险方法危害公共安全罪判处盗窃窨井盖的唐某有期徒刑3年。

若干问题	具体应用	hierarchical	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

检察院	抢劫罪	NA	上海金山区人民检察院以涉嫌抢劫罪、故意杀人罪(未遂)批准逮捕了犯罪嫌疑人江盼。

无期徒刑	被害人	NA	以犯故意杀人罪判处刘承玥、李光死刑;康健(被害人的妻子)犯故意杀人罪判处无期徒刑;康壮(被害人的妻弟)被判处有期徒刑5年。

人民检察院	抢劫罪	NA	上海金山区人民检察院以涉嫌抢劫罪、故意杀人罪(未遂)批准逮捕了犯罪嫌疑人江盼。

法律	刑事案件	NA	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

警方	贩卖毒品	NA	福建省龙岩警方成功破获一起由100多人组成、贩卖毒品5000多克的特大贩(吸)毒团伙案。

警方	贩卖毒品	NA	江西警方侦破了一起该省禁毒史上最大的夫妻联手制造、贩卖毒品案。

市公安局	检察院	NA	李某在得知其子李小某被某市公安局以涉嫌故意杀人罪移送检察院审查起诉后。

被告人	证据不足	NA	我的辩护意见是:一审判决认定被告人林某某犯故意伤害罪的证据不足。

抢劫	界定	NA	应以“故意伤害”取而代之 ;同时应通过立法或司法解释方法将“行凶、杀人、抢劫、强奸、绑架”界定为犯罪手段 ;对“其他严重危及人身安全的暴力犯罪”不能随意扩展。

中级人民法院	死刑	NA	云南省文山州中级人民法院以故意杀人罪一审判处被告人苏志祥、罗超死刑。

抢劫罪	非法拘禁罪	NA	寻衅滋事罪的四种表现形式:“随意殴打”型、“追逐辱骂”型、“强拿损毁”型、“起哄闹事”型可分别为故意伤害罪、非法拘禁罪、侮辱罪、抢劫罪、故意毁坏财物罪、聚众扰乱公共场所秩序、交通秩序罪等所吸纳。

抢劫罪	非法拘禁罪	NA	寻衅滋事罪的四种表现形式:“随意殴打”型、“追逐辱骂”型、“强拿损毁”型、“起哄闹事”型可分别为故意伤害罪、非法拘禁罪、侮辱罪、抢劫罪、故意毁坏财物罪、聚众扰乱公共场所秩序、交通秩序罪等所吸纳。

检察院	市公安局	NA	李某在得知其子李小某被某市公安局以涉嫌故意杀人罪移送检察院审查起诉后。

故意杀人	抢劫罪	NA	如有只定抢劫罪或故意杀人罪一罪的。

故意杀人	抢劫罪	NA	上海金山区人民检察院以涉嫌抢劫罪、故意杀人罪(未遂)批准逮捕了犯罪嫌疑人江盼。

故意杀人	抢劫罪	NA	一个被指控犯有故意杀人抢劫罪而被判处死刑的四川省平武县农行响岩镇营业所信贷员。

故意杀人	抢劫罪	NA	也有分别定抢劫罪和故意杀人罪两罪而实行数罪并罚的。

故意杀人	抢劫罪	NA	疑犯朱文博由检察机关以抢劫罪和故意杀人罪起诉。

故意伤害罪	立案侦查	NA	检察机关以滥用职权罪、故意伤害罪对刘德级等人立案侦查。

安乐死	故意杀人罪	NA	则安乐死行为符合故意杀人罪的构成要件。

安乐死	故意杀人罪	NA	消极安乐死因不具有作为义务而不构成不作为的故意杀人罪。

安乐死	故意杀人罪	NA	我国司法实践中将实施安乐死的行为人以故意杀人罪定罪处罚。

安乐死	故意杀人罪	NA	实施安乐死的行为不构成故意杀人罪。

妻子	有期徒刑	NA	以犯故意杀人罪判处刘承玥、李光死刑;康健(被害人的妻子)犯故意杀人罪判处无期徒刑;康壮(被害人的妻弟)被判处有期徒刑5年。

检察机关	提起公诉	NA	检察机关以涉嫌贩卖毒品罪对张某提起公诉。

致人重伤	致人死亡	NA	应分别情况以抢夺罪与过失致人重伤罪、过失致人死亡罪的想象竟合犯论。

致人重伤	致人死亡	NA	其具体罪名为过失致人死亡罪或者过失致人重伤罪;反之。

致人重伤	致人死亡	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人重伤	致人死亡	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人重伤	致人死亡	NA	因逃逸致人死亡是指行为人在交通肇事致人重伤后。

故意杀人罪	诈骗罪	NA	其与医疗事故罪、故意杀人罪、故意伤害罪、诈骗罪有相似和易混淆之处。

故意杀人罪	诈骗罪	NA	其与医疗事故罪、故意杀人罪、故意伤害罪、诈骗罪有相似和易混淆之处。

故意杀人罪	诈骗罪	NA	北京市第一中级人民法院以故意杀人罪、盗窃罪、诈骗罪合并判处被告人闫烁死刑。

敲诈勒索罪	故意伤害罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

敲诈勒索罪	故意伤害罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

敲诈勒索罪	故意伤害罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

敲诈勒索罪	故意伤害罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

敲诈勒索罪	故意伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

敲诈勒索罪	故意伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

敲诈勒索罪	故意伤害罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

敲诈勒索罪	故意伤害罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

敲诈勒索罪	故意伤害罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

敲诈勒索罪	故意伤害罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

敲诈勒索罪	故意伤害罪	NA	重庆市荣昌县黑老大陈明因犯组织、领导黑社会性质组织罪、故意伤害罪、诈骗罪、贩卖毒品罪、敲诈勒索罪、寻衅滋事罪、开设赌场罪。

盗窃	法制	NA	这些犯罪是①流氓罪;②故意伤害罪;③拐卖人口罪;④非法制造、买卖、运输或者盗窃、抢夺枪支弹药、爆炸物罪。

交通肇事罪	加重犯	NA	应将“交通运输肇事后逃逸”罪名化的原因有二:一是刑法第133条将“交通运输肇事后逃逸”设置为交通肇事罪情节加重犯并不合理。

交通肇事罪	加重犯	NA	仅作为交通肇事罪的结果加重犯定性处罚。

交通肇事罪	加重犯	NA	也无法构成交通肇事罪结果加重犯的共犯。

审判	刑事案件	NA	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

若干问题	交通肇事罪	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

若干问题	交通肇事罪	NA	最高人民法院《关于审理交通肇事罪刑事案件具体应用法律若干问题的解释》第6条的规定值得商榷。

《刑法》	刑事责任	NA	这一规定从实质上改变了《刑法》第133条对交通肇事罪客观要件内容的规定;违反了民事责任和刑事责任不得相互转换的法律原理;并且与《刑法》第4条所规定的刑法面前人人平等原则相冲突。

犯罪分子	故意伤害	NA	福建省高级人民法院: 你院《关于对故意伤害、盗窃(重大)等犯罪分子被判处有期徒刑的。

被告人	有期徒刑	hierarchical	被告人夏某与张茹月(另案判决)在被告人吴丹(曾因犯贩卖毒品罪于2006年3月被云南省大理白族自治州中级人民法院判处有期徒刑。

被告人	有期徒刑	hierarchical	杭州市当地人民法院以交通肇事罪判处飙车案被告人胡斌有期徒刑3年。

故意伤害罪	中级人民法院	NA	北京市第一中级人民法院以故意伤害罪和抢劫罪。

故意伤害罪	中级人民法院	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

故意伤害罪	中级人民法院	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

故意伤害罪	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

故意伤害罪	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

故意伤害罪	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

故意伤害罪	中级人民法院	NA	河南省洛阳市中级人民法院一审判决焦克星犯故意伤害罪。

妨害	侵犯财产罪	NA	分散于危害公共安全罪、破坏社会主义市场经济秩序罪、侵犯公民人身权利、民主权利罪、侵犯财产罪、妨害社会管理秩序罪和军人违反职责罪这六大章中。

特定问题调查委员会	人大常委会	NA	“汪伦才故意伤害案”经合肥市人大常委会组成的特定问题调查委员会历时两个多月的艰苦细致的调查。

交通肇事	罪过	NA	醉驾案的两难命题提供了反思交通肇事主观罪过的契机。

交通肇事	罪过	NA	交通肇事罪的主观罪过仍然是刑法理论界和实务界争议的焦点。

交通肇事	罪过	NA	交通肇事罪共犯形成的理论基础在于其罪过形式是复合罪过形式。

交通肇事	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	罪过	NA	交通肇事罪的“因逃逸致人死亡”的罪过形式一直是学界存有争议的问题。

交通肇事	罪过	NA	并没有合理地解决交通肇事罪的主观罪过问题。

法定刑	自首	NA	交通肇事罪法定刑的设置;逃逸行为应属定罪情节还是加重情节;逃逸行为与责任认定;肇事后逃逸的情形下可否成立自首等问题都值得理论界思考。

交通肇事	共犯	NA	交通肇事罪共犯形成的理论基础在于其罪过形式是复合罪过形式。

交通肇事	共犯	NA	司法解释规定指使者与受指使逃逸的交通肇事者构成交通肇事罪的共犯。

交通肇事	共犯	NA	设立交通肇事逃逸罪是合理的;交通肇事逃逸中的共同犯罪宜定为交通肇事逃逸罪的共犯。

交通肇事	共犯	NA	但该款所指的情形既不成立交通肇事罪基本犯的共犯 。

交通肇事	共犯	NA	也无法构成交通肇事罪结果加重犯的共犯。

交通肇事	共犯	NA	交通肇事罪共犯主体包括交通运输人员和非交通运输人员。

犯罪	刑事案件	NA	故意伤害(轻伤)犯罪属轻微刑事案件。

黑社会性质组织	强迫交易	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

黑社会性质组织	强迫交易	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

共同犯罪	逃逸	NA	设立交通肇事逃逸罪是合理的;交通肇事逃逸中的共同犯罪宜定为交通肇事逃逸罪的共犯。

警方	嫌疑人	NA	方舟子被袭案主要犯罪嫌疑人肖传国因故意伤害罪在上海浦东机场被警方抓获。

犯罪案件	被害人	NA	交通肇事罪中的被害人过错是指在交通肇事犯罪案件中。

致人死亡	故意伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人死亡	故意伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人死亡	故意伤害罪	NA	婚后生育二子1997年其大儿子因犯故意伤害罪(致人死亡)被判处有期徒刑。

寻衅滋事罪	伤害罪	NA	寻衅滋事罪的四种表现形式:“随意殴打”型、“追逐辱骂”型、“强拿损毁”型、“起哄闹事”型可分别为故意伤害罪、非法拘禁罪、侮辱罪、抢劫罪、故意毁坏财物罪、聚众扰乱公共场所秩序、交通秩序罪等所吸纳。

寻衅滋事罪	伤害罪	NA	寻衅滋事罪的四种表现形式:“随意殴打”型、“追逐辱骂”型、“强拿损毁”型、“起哄闹事”型可分别为故意伤害罪、非法拘禁罪、侮辱罪、抢劫罪、故意毁坏财物罪、聚众扰乱公共场所秩序、交通秩序罪等所吸纳。

寻衅滋事罪	伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

寻衅滋事罪	伤害罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

寻衅滋事罪	伤害罪	NA	实践中在审理寻衅滋事罪与抢劫罪、故意伤害罪、故意毁坏财物罪的案件的时候。

寻衅滋事罪	伤害罪	NA	实践中在审理寻衅滋事罪与抢劫罪、故意伤害罪、故意毁坏财物罪的案件的时候。

寻衅滋事罪	伤害罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

寻衅滋事罪	伤害罪	NA	不是寻衅滋事罪的主观要素;刑法理论与司法实践不应过分注重寻衅滋事罪与故意伤害罪、敲诈勒索罪、故意毁坏财物罪的区别。

寻衅滋事罪	伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

寻衅滋事罪	伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

寻衅滋事罪	伤害罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

寻衅滋事罪	伤害罪	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

寻衅滋事罪	伤害罪	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

寻衅滋事罪	伤害罪	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

构成要件	故意伤害罪	NA	轻伤作为故意伤害罪构成要件的危害结果。

主体	认定	NA	其中主体的认定和交通肇事后逃逸案件的定性问题最为突出。

刑事责任	被害人	NA	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

被告人	非法拘禁罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

被告人	非法拘禁罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

